Category,cleaned_resume
Data Science,"Python, Sql, Java, JavaScript, JQuery, Regression, SVM, Naïve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language Processing, Dimensionality reduction, Topic Modelling, LDA, NMF, PCA, Neural Nets, Mysql, SqlServer, Cassandra, Hbase, ElasticSearch, D3.js, DC.js, Plotly, Kibana, Matplotlib, ggplot, Tableau, Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision, Open CV, Deep learning, tfidf, word2vec, doc2vec, cosine similarity, Vader, text blob, NLTK, spacy, Bootstrap, Node.js"
Data Science,"Python, Statsmodels, AWS, Machine learning, Sklearn, Scipy, Keras, Outlier detection, Feature selection, Dimensionality reduction, Time series forecasting, ARIMA, SARIMAX, Holt-winter, Prophet, Meta-feature extraction"
Data Science,"Deep Learning, Control System Design, Programming in-Python, Electric Machinery, Web Development, Analytics, Programming Matlab, Python, Java, LabView, Python WebFrameWork-Django, Flask, LTSPICE-intermediate, MIPOWER-intermediate, Github, Jupyter Notebook, Xampp, MySQL-Basics, Anaconda, Python2, Python3, Pycharm, Java IDE-Eclipse, Windows, Ubuntu, Debian-Kali Linux, Data Analysis, Excel, Machine Learning, Mathematics, Electrical Engineering, SQL"
Data Science,"R, Python, SAP HANA, Tableau, SAP HANA SQL, SAP HANA PAL, MS SQL, SAP Lumira, C#, Linear Programming, Data Modelling, Advance Analytics, SCM Analytics, Retail Analytics, Social Media Analytics, NLP, Deep Learning, Machine Learning, SQL, Anaconda3, Python3.6, HANA SPS12, BOBJ, Time Series Forecasting, T-SQL, PL-SQL, Visual Studio 2010, Performance Monitor, SQL Server 2008/2014"
Data Science,"Data Structure, C, Data Analysis, Python, Core Java, Database Management"
Data Science,"C Basics, IOT, Python, MATLAB, Data Science, Machine Learning, HTML, Microsoft Word, Microsoft Excel, Microsoft Powerpoint, MS OFFICE, machine learning, data science, Matlab"
Data Science,"Python, Tableau, Data Visualization, R Studio, Machine Learning, Statistics, Data Science"
Data Science,"Numpy, Machine Learning, Tensorflow, Scikit, Python, GCP, Pandas, Neural Network, Algorithms, NLP, Seaborn, Matplotlib, Cufflinks, KNN, Decision Tree, Bias variance Trade off, Support vector Machine, Logistic Regression, K means clustering, SQL, Oracle, Linux, Windows, C++, Java, Service Now, Remedy, Deep Learning, Data Science, Software Development, Problem solving, Communication skills, Flexibility, Code reusability"
Data Science,"Ability to quickly grasp technical aspects, willingness to learn, high energy levels, result oriented, experience in Machine Learning, Deep Learning, NLP, Python, SQL, Web Scraping, good knowledge in computer subjects, experience with Python packages like Pandas, Scikit-learn, Tensor Flow, Numpy, Matplotlib, NLTK, comfort with SQL, MYSQL, sentiment analysis, web crawling using Selenium web driver and Beautiful Soup."
Data Science,"Data and Quantitative Analysis, Decision Analytics, Predictive Modeling, Data-Driven Personalization, KPI Dashboards, Big Data Queries and Interpretation, Data Mining and Visualization Tools, Machine Learning Algorithms, Business Intelligence (BI), Research, Reports and Forecasts, Algorithms, BI, Business Intelligence, Machine Learning, Visualization, Spark, Python, Tableau, Data Analysis, Chat Bot using AWS LEX, TensorFlow, Web scraping using Selenium web driver, Data Visualization, Data insights, Hadoop Eco System, Hive, PySpark, QlikSense, Microsoft Face API, Open CV, R, NLP, Apache Spark, Sentiment Analysis"
Data Science,"Python, Sql, Java, JavaScript, JQuery, pandas, numpy, scipy, scikit-learn, matplotlib, Regression, SVM, Naïve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling, LDA, NMF, PCA, Neural Nets, Mysql, SqlServer, Cassandra, Hbase, ElasticSearch, D3.js, DC.js, Plotly, kibana, ggplot, Tableau, Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision, Open CV, Deep learning, tfidf, word2vec, doc2vec, cosine similarity, Vader, text blob, NLTK, spacy, Elastic Search, Kibana, Bootstrap, Node.js"
Data Science,"Python, Statsmodels, AWS, Machine learning, Sklearn, Scipy, Keras, outlier detection, encoding, scaling, feature selection, dimensionality reduction, classification, regression, time series forecasting, ARIMA, SARIMAX, Holt-winter, Prophet, meta-feature extraction"
Data Science,"Deep Learning, Control System Design, Programming in-Python, Electric Machinery, Web Development, Analytics, Programming Matlab, Python, Java, LabView, Python WebFrameWork-Django, Flask, LTSPICE-intermediate, MIPOWER-intermediate, Github, Jupyter Notebook, Xampp, MySQL-Basics, Python Software Packages, Interpreters-Anaconda, Python2, Python3, Pycharm, Java IDE-Eclipse, Windows, Ubuntu, Debian-Kali Linux, Data Analysis, Excel, Machine Learning, Mathematics, Electrical Engineering, SQL"
Data Science,"R, Python, SAP HANA, Tableau, SAP HANA SQL, SAP HANA PAL, MS SQL, SAP Lumira, C#, Linear Programming, Data Modelling, Advance Analytics, SCM Analytics, Retail Analytics, Social Media Analytics, NLP, Deep Learning, Machine Learning, SQL, SAP AO, BOBJ, Time Series Forecasting, Anaconda3, Python3.6, SAP PAL, T-SQL, PL-SQL"
Data Science,"Data Structure, C, Data Analysis, Python, Core Java, Database Management"
Data Science,"C Basics, IOT, Python, MATLAB, Data Science, Machine Learning, HTML, Microsoft Word, Microsoft Excel, Microsoft Powerpoint, MS OFFICE, machine learning, data science"
Data Science,"Python, Tableau, Data Visualization, R Studio, Machine Learning, Statistics, Solutions, Data Science"
Data Science,"Numpy, Machine Learning, Tensorflow, Scikit, Python, GCP, Pandas, Neural Network, Algorithms, NLP, C++, Java, SQL, Oracle, Linux, Ubuntu, Windows, Seaborn, Matplotlib, Cufflinks, KNN, Decision Tree, Linear regression, Logistic Regression, K means clustering, SVM, Service Now, Remedy, NetBeans, Notebooks, Sublime, Problem solving, Interpersonal skills, Communication skills, Flexibility, Code reusability"
Data Science,"Ability to quickly grasp technical aspects, willingness to learn, high energy levels, result oriented, experience in Machine Learning, Deep Learning, NLP, Python, SQL, Web Scraping, good knowledge in computer subjects, practical knowledge of Deep Learning algorithms, develop custom data models and algorithms, experience with Python packages like Pandas, Scikit-learn, TensorFlow, Numpy, Matplotlib, NLTK, comfort with SQL, MySQL, sentiment analysis, web crawling using Selenium, Beautiful Soup."
Data Science,"Data and Quantitative Analysis, Decision Analytics, Predictive Modeling, Data-Driven Personalization, KPI Dashboards, Big Data Queries and Interpretation, Data Mining and Visualization Tools, Machine Learning Algorithms, Business Intelligence (BI), Research, Reports and Forecasts, Algorithms, Business Intelligence, Machine Learning, Visualization, Spark, Python, Tableau, Data Analysis, Chat Bot using AWS LEX, Tensorflow, Web scraping using Selenium, Data Visualization, Data insights, Hadoop Eco System, Hive, PySpark, QlikSense, Microsoft Face API, Open CV, R, NLP, Apache Spark"
Data Science,"Python, Sql, Java, JavaScript, JQuery, Regression, SVM, Naïve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language Processing, Dimensionality reduction, Topic Modelling, PCA, Neural Nets, Mysql, SqlServer, Cassandra, Hbase, ElasticSearch, D3.js, DC.js, Plotly, Kibana, Matplotlib, ggplot, Tableau, Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, Open CV, Deep learning, tfidf, word2vec, doc2vec, cosine similarity, LDA, NMF, Vader, text blob, NLTK, spacy, Flask, Bootstrap, Node.js"
Data Science,"Python, Statsmodels, AWS, Machine learning, Sklearn, Scipy, Keras, outlier detection, missing value treatment, encoding, scaling, feature selection, dimensionality reduction, classification, regression, time series forecasting, ARIMA, SARIMAX, Holt-winter, Prophet, meta-feature extraction"
Data Science,"Deep Learning, Control System Design, Programming in-Python, Electric Machinery, Web Development, Analytics, Programming Matlab, Python, Java, LabView, Python WebFrameWork-Django, Flask, LTSPICE-intermediate, MIPOWER-intermediate, Github, Jupyter Notebook, Xampp, MySQL-Basics, Anaconda, Python2, Python3, Pycharm, Java IDE-Eclipse, Data Analysis, Excel, Machine Learning, Mathematics, Electrical Engineering, SQL"
Data Science,"R, Python, SAP HANA, Tableau, SAP HANA SQL, SAP HANA PAL, MS SQL, SAP Lumira, C#, Linear Programming, Data Modelling, Advance Analytics, SCM Analytics, Retail Analytics, Social Media Analytics, NLP, Deep Learning, Machine Learning, SQL, Customer Segmentation, RFM analysis, Time Series Forecasting, Anaconda3, Python3.6, SAP PAL, T-SQL, PL-SQL, SQL Server 2008/2014, Visual Studio 2010, Windows Server, Performance Monitor, SQL Server Profiler"
Data Science,"Data Structure, C, Data Analysis, Python, Core Java, Database Management"
Data Science,"C Basics, IOT, Python, MATLAB, Data Science, Machine Learning, HTML, Microsoft Word, Microsoft Excel, Microsoft Powerpoint, MS OFFICE, machine learning, data science"
Data Science,"Python, Tableau, Data Visualization, R Studio, Machine Learning, Statistics, Data Science"
Data Science,"Numpy, Machine Learning, Tensorflow, Scikit, Python, GCP, Pandas, Neural Network, Algorithms, NLP, Seaborn, Matplotlib, Cufflinks, KNN, Decision Tree, Bias variance Trade off, Support vector Machine, Logistic Regression, K means clustering, SQL, Oracle, Linux, Windows, C++, Java, problem solving, communication skills, code reusability"
Data Science,"Ability to quickly grasp technical aspects, willingness to learn, high energy levels, result oriented, experience in Machine Learning, Deep Learning, NLP, Python, SQL, Web Scraping, good knowledge in computer subjects, practical knowledge of Deep Learning algorithms, experience with Python packages like Pandas, Scikit-learn, Tensor Flow, Numpy, Matplotlib, NLTK, comfort with SQL, MYSQL, sentiment analysis, web crawling using Selenium web driver, Beautiful Soup."
Data Science,"Data and Quantitative Analysis, Decision Analytics, Predictive Modeling, Data-Driven Personalization, KPI Dashboards, Big Data Queries and Interpretation, Data Mining and Visualization Tools, Machine Learning Algorithms, Business Intelligence (BI), Research, Reports and Forecasts, Algorithms, Business Intelligence, Machine Learning, Visualization, Spark, Python, Tableau, Data Analysis, Chat Bot, AWS LEX, Tensor flow, Web scraping, Selenium web driver, Data Visualization, Data insights, Hadoop Eco System, Hive, PySpark, QlikSense, Microsoft Face API, Open CV, Churn Analysis, R, NLP, Apache Spark, Sentiment Analysis"
HR,"Typewriting, TORA, SPSS, Human resource, Finance"
HR,"Windows XP, Ms Office, Saral Payment Package, HR Management, Payroll Management, Statutory Compliance Management, Recruitment and Selection, Performance Management, Training and Development, Employee Engagement, Excel"
HR,Hr Operations
HR,HR
HR,Hr
HR,Communication
HR,HR
HR,"Computerized accounting with tally, Management accounting, Income tax, Good communication, Leadership, Driving license, Internet management, Ecommerce management, C Language, Web programming, Tally, Dbms, Accounting, Database management system, Ecommerce"
HR,"Training in Special Education, M.Sc Psychology, Organizational Behaviour, BSc Psychology, HR, Counselling, Psychotherapy"
HR,"Proficient in MS Office, Microsoft Dynamics AX, SAIBA software, DYNAMICS, MICROSOFT DYNAMICS AX, attendance maintenance, time cards maintenance, individual records maintenance"
HR,"General Computer Proficiency, C, C+, Java, Web Programming, MATLAB, DBMS, Good communication skills, Analytic skills, Positive thinking, Hard work, Honesty, Responsibility, Enthusiastic to learn new skills, Self-motivated, Ready to accept challenges, DATABASE MANAGEMENT SYSTEM, JAVA, MATLAB"
HR,"Typewriting, TORA, SPSS, Human resource, Finance"
HR,"Windows XP, Ms Office, Saral Payment Package, HR Management, Payroll Management, Statutory Compliance Management, Recruitment and Selection, Performance Management, Training and Development, Employee Engagement, Employee Welfare"
HR,HR Operations
HR,HR
HR,Hr
HR,Communication
HR,HR
HR,"Computerized accounting with tally, Management accounting, Income tax, Good communication, Leadership, Driving license (two and four wheeler), Internet management, Ecommerce management, C Language, Web programming, Tally, Database Management System (DBMS), Ecommerce"
HR,"Training in Special Education, Organizational Behaviour, HR, Counselling"
HR,"Proficient in basic use of MS office, Microsoft Dynamics AX software, SAIBA software, DYNAMICS, MICROSOFT DYNAMICS, MS OFFICE, Attendance maintenance, Time cards maintenance, Staffs and labors individual records maintenance"
HR,"General Computer Proficiency, C, C+, Java, Web Programming, MATLAB, DBMS, Good communication skills, Analytic skills, Positive thinking, Hard work, Honesty, Responsibility, Enthusiastic to learn new skills, Self-motivated, Ready to accept challenges"
HR,"Typewriting, TORA, SPS, Human resource, Finance"
HR,"Windows XP, Ms Office (Word, Excel: Look-ups; Pivot table; other basic functions; Power Point), Saral Payment Package, HR Management, Payroll Management, Statutory Compliance Management, Recruitment and Selection, Performance Management, Training and Development, Employee Engagement, Employee Welfare, Attendance & Leave Record Management, Compensation and Benefits Administration"
HR,Hr Operations
HR,Hr
HR,Hr
HR,Communication
HR,HR
HR,"Computerized accounting with Tally, Management accounting, Income tax, Good communication, Leadership, Two and four wheeler driving license, Internet management, Ecommerce management, C Language, Web programming, Tally, Dbms, Accounting, Database Management System"
HR,"Training in Special Education, M.Sc in Psychology, Organizational Behaviour, BSc in Psychology, HR, Counselling"
HR,"Proficient in basic use of MS Office, Microsoft Dynamics AX software, SAIBA software, DYNAMICS, MICROSOFT DYNAMICS, MICROSOFT DYNAMICS AX, MS OFFICE, Attendance maintenance, Time cards maintenance, Staffs and labors individual records maintenance"
HR,"General Computer Proficiency, C, C+, Java, Web Programming, MATLAB, DBMS, Good communication skills, Analytic skills, Positive thinking, Sincere, Hard work, Honesty, Responsibility, Enthusiastic to learn new skills, Self-motivated, Ready to accept challenges"
HR,"Typewriting, TORA, SPS, Human resource, Finance"
HR,"Windows XP, Ms Office (Word, Excel: Look-ups, Pivot table, other basic functions, Power Point), Saral Payment Package, HR Management, Payroll Management, Statutory Compliance Management, Recruitment and Selection, Performance Management, Training and Development, Employee Engagement, Employee Welfare"
HR,Hr Operations
HR,HR
HR,HR
HR,Communication
HR,HR
HR,"Computerized accounting with tally, Sincere & hard working, Management accounting & income tax, Good communication & leadership, Two and four wheeler driving license, Internet & Ecommerce management, C Language, Web programming, Tally, Dbms, accounting, DATABASE MANAGEMENT SYSTEM, Management accounting, Ecommerce"
HR,"Training in Special Education, M.Sc Psychology, BSc Psychology, HR, Counselling, Organizational Behaviour"
HR,"Proficient in MS Office, Microsoft Dynamics AX, SAIBA, DYNAMICS, MICROSOFT DYNAMICS, Attendance maintenance, Time cards maintenance, Staff and labor records maintenance"
HR,"General Computer Proficiency, C, C+, Java, Web Programming, MATLAB, DBMS, Good communication skills, Analytic skills, Positive thinking, Hard work, Honesty, Responsibility, Enthusiastic to learn new skills, Self-motivated, Ready to accept challenges"
Advocate,"Windows, Ms. Office, Legal vetting, Drafting, Liaisoning, Adaptability, Interpersonal skills, Teamwork"
Advocate,"Taxation matters, Income Tax, GST, P Tax, Accounts, Filing of Income Tax Returns, GST Returns, e-TDS, AIR, Drafting, Preparation of plaint"
Advocate,"Legal, Advocacy"
Advocate,"Microsoft Word, Litigation, Legal Research, Contracts, Internet Savvy, Drafting"
Advocate,"English, Hindi, Punjabi, communication, administrative procedures, evidence rules, trials, professionalism, time management, Microsoft Certified Systems Engineer, Windows, Word processing, administration, legal research, Microsoft Office, drafting, legal rights advice, legal document preparation, negotiation, mediation, conciliation, arbitration, private practice management"
Advocate,"Advocate, Legal advisor"
Advocate,"Natural Languages: English, Hindi, Marathi, MS-Office, Internet operation"
Advocate,"Legal Writing, Efficient researcher, Legal Education, Family Law, Criminal Defence, Environment law and litigation, Business legal issue, Banking Law and commercial law, Litigation"
Advocate,"typing, interpersonal skills, multitasking, legal assistance"
Advocate,"Hard working, Quick learner"
Advocate,"Windows, Ms. Office, Legal vetting, Drafting, Liaisoning, Interpersonal skills, Teamwork, Adaptability"
Advocate,"Taxation matters, Income Tax, GST, P Tax, Accounts, Filing of Income Tax Returns, GST Returns, e-TDS, AIR, Drafting, Preparation of plaint"
Advocate,"Legal, Advocacy"
Advocate,"Microsoft Word, litigation, Legal Research, Contracts, Internet Savvy, Drafting"
Advocate,"English, Hindi, Punjabi, communication, administrative procedures, evidence rules, trials, professional attitude, meeting deadlines, Microsoft Certified Systems Engineer, Windows, Word processing, administration, legal research, Microsoft Office, drafting, legal rights, legal documents, negotiating settlements, mediation, conciliation, arbitration, private practice management"
Advocate,"Advocacy, Legal advising, Litigation, Legal research, Court representation"
Advocate,"Natural Languages: Proficient in English, Hindi and Marathi, Computer skills: Proficient with MS-Office, Internet operation"
Advocate,"Legal Writing, Efficient researcher, Legal Education, Family Law, Criminal Defence, Environment law and litigation, Business legal issue, Banking Law, Commercial law, Litigation"
Advocate,"typing, interpersonal skills, multitasking, legal assistance"
Advocate,"Hard working, Quick learner"
Arts,"Good communication skill, Quick learner, Keen to find solutions, Presentation skill, Team building, Negotiation skill, Business Communication, Stress management, Verbal communication, Working knowledge of Windows operating system, MS Office, Organized events, Communicate well in English, Hindi & Marathi"
Arts,"Operating Systems: Windows XP, Windows Vista, Windows 07, Fine arts, Teaching, Painting, Drawing, Rangoli, Art education"
Arts,"Web Designing, Strategic oversight, Project management, Team leadership, Budget management, Event planning, Marketing, Communication, Relationship management, Cultural partnership development, Research, Editing, Interviewing, Reporting, Media law knowledge, Software proficiency (Sonic Foundry Vegas, Sonic Foundry Sound Forge, Acid, Midi)"
Arts,"Drawing, Arts & Craft, Coordination, Teaching, Marketing"
Arts,"martial arts, personal training, karate, fitness, competition achievement, award recognition, representation"
Arts,"Drawing, Ability to Learn From Mistakes, Honesty, Quick learning, adaptability, confidence"
Arts,"Good communication skill, Quick learner, Keen to find solutions, Presentation skill, Team building, Negotiation skill, Business Communication, Stress management, Team-building, Verbal communication, Working knowledge of Windows operating system, MS Office, Organized events, Communicate well in English, Hindi, Marathi"
Arts,"Operating Systems: Windows XP, Vista, 07, Fine arts lecturer, Ms-Cit, Painting, Rangoli, Drawing, Summer classes"
Arts,"Web Designing, Strategic oversight, Project management, Resource management, Communication, Team leadership, Partnership development, Marketing, Budget planning, Event planning, Social media marketing, Administration support, Media law, Editing, Interviewing, Reporting, Sourcing contributors, Managing supplier relationships, Production management, Audience engagement, Arts program development, Cultural relationship building."
Arts,"Drawing, Arts & Craft, Coordination, Marketing"
Arts,"martial arts, personal training, karate, fitness training, competitive sports"
Arts,"Ability to Learn From Mistakes, Honesty, Ready to accept challenges and responsibilities, Quick learning, adaptability, confidence"
Arts,"Good communication skill, Quick learner, Keen to find solutions, Presentation skill, Team building, Negotiation skill, Business Communication, Stress management, Verbal communication, Working knowledge of Windows operating system, MS Office, Organized events, Communicate well in English, Hindi & Marathi"
Arts,"Operating Systems: Windows XP, Vista, 07, Fine arts lecturer, Ms-Cit, Painting, Rangoli, Drawing, Teaching"
Arts,"Web Designing, Strategic oversight, Project management, Team leadership, Budget management, Event planning, Marketing, Communication, Media law knowledge, Editing, Interviewing, Reporting, Music selection, Relationship management, Administrative support, Office management, Data evaluation, Cultural relationship development, Logistics management, Audience engagement, Social media marketing, Proposal development, Research skills, Publicity production, Program development, Mentoring, Partnership building"
Arts,"Drawing, Arts & Craft, Coordination, Marketing"
Arts,"2nd dan black belt in karate, personal trainer, martial arts, fitness, gold medalist in national karate championship, gold medalist in state karate championship, best player of the year, represented India, selected for world karate championship"
Arts,"Ability to Learn From Mistakes, Honesty, Quick learning, adaptability, confidence"
Arts,"Good communication skill, Quick learner, Keen to find solutions, Presentation skill, Team building, Negotiation skill, Business Communication, Stress management, Verbal communication, Working knowledge of Windows operating system, MS Office, Organized events"
Arts,"Operating Systems: Windows XP, Vista, 07, Fine arts lecturer, Ms-Cit, Painting, Drawing, Rangoli, Summer classes"
Arts,"Web Designing, Strategic oversight, Program management, Communication, Interviewing, Team leadership, Budget management, Project planning, Event planning, Marketing, Social media, Logistics management, Office management, Administration support, Media law, Editing, Reporting, Production management, Relationship management, Researching, Proposal development, Audience engagement, Cultural relationship building, Stakeholder consultation"
Arts,"Drawing, Arts and Craft, Coordination, Teaching"
Arts,"martial arts, personal training, karate, fitness training, competition success"
Arts,"Drawing, Ability to Learn From Mistakes, Honesty, Quick learning, Adaptability, Confidence"
Arts,"Good communication skill, Quick learner, Keen to find solutions, Presentation skill, Team building, Negotiation skill, Business communication, Stress management, Verbal communication, Working knowledge of Windows operating system, MS Office, Organized, Event participation"
Arts,"Operating Systems: Windows XP, Vista, 07, Fine arts, Ms-Cit, Painting, Rangoli, Drawing, Teaching"
Arts,"Web Designing, Strategic oversight, Project management, Team leadership, Budget management, Event planning, Marketing, Communication, Stakeholder engagement, Research, Editing, Interviewing, Media law, Social media marketing, Administration, Operational management, Proposal development, Logistics management, Performance programming, Cultural relations, Relationship management, Mentoring, Evaluation systems."
Arts,"Drawing, Arts & Craft, Coordination, Teaching, Marketing"
Arts,"martial arts, personal training, fitness, karate, competitive sports, award-winning"
Arts,"Ability to Learn From Mistakes, Honesty, Quick learning, adaptability, confidence"
Arts,"Good communication skill, Quick learner, Keen to find solutions, Presentation skill, Team-building, Negotiation skill, Business communication, Stress management, Verbal communication, Working knowledge of Windows operating system, MS Office, Organized events, Multilingual (English, Hindi, Marathi)"
Arts,"Operating Systems: Windows XP, Vista, 07, Fine arts lecturer, Ms-Cit, Painting, Drawing, Rangoli, Art Classes"
Arts,"Web Designing, Strategic oversight, Program management, Communication, Team leadership, Relationship management, Marketing, Budget management, Event planning, Logistics management, Project development, Media coverage, Editing, Interviewing, Reporting, Copyright compliance, Understanding media law, Administrative support"
Arts,"Drawing, Arts & Craft, Coordination, Marketing"
Arts,"martial arts, personal training, karate, fitness training, competition achievement, teamwork, discipline"
Arts,"Ability to Learn From Mistakes, Honesty, Quick learning, adaptability, confidence"
Web Designing,"Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Photoshop, Brackets, Visual Studio, Visual Studio Code"
Web Designing,"HTML5, CSS3, Bootstrap, PHP, Ajax, Jquery, JavaScript, MySQL, Notepad++, Sublime Text2, Codeigniter, Apache tomcat, Xampp Control Panel, Windows"
Web Designing,"Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Brackets, Visual Studio, Photoshop, Visual Studio Code, PHOTOSHOP, BOOTSTRAP, JAVASCRIPT, CSS3, Angular 4"
Web Designing,"Web design, Php"
Web Designing,"C, JAVA, HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator, MySQL5.0, Sublime Text, Notepad, Windows XP, Windows 7"
Web Designing,"Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Photoshop, Brackets, Visual Studio, Visual Studio Code"
Web Designing,"HTML5, CSS3, Bootstrap, PHP, Ajax, Jquery, JavaScript, MySQL, Notepad++, Sublime Text2, Codeigniter, Apache tomcat, Xampp Control Panel, Windows"
Web Designing,"Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Photoshop, Brackets, Visual Studio, Visual Studio Code"
Web Designing,"Web design, Php"
Web Designing,"C, JAVA, HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator, MySQL5.0, Sublime Text, Notepad, Windows XP, Windows 7"
Web Designing,"Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Photoshop, Visual Studio, Visual Studio Code"
Web Designing,"HTML5, CSS3, Bootstrap, PHP, Ajax, Jquery, JavaScript, MySQL, Notepad++, Sublime Text2, Codeigniter, Apache tomcat, Xampp Control Panel, Windows"
Web Designing,"Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Photoshop, Brackets, Visual Studio, Visual Studio Code"
Web Designing,"Web design, Php"
Web Designing,"C, JAVA, HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator, MySQL5.0, Sublime Text, Notepad, Windows XP, Windows 7"
Web Designing,"Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Photoshop, Brackets, Visual Studio, Visual Studio Code"
Web Designing,"HTML5, CSS3, Bootstrap, PHP, Ajax, Jquery, JavaScript, MySQL, Notepad++, Sublime Text2, Codeigniter, Apache tomcat, Xampp Control Panel, Windows"
Web Designing,"Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Photoshop, Visual Studio, Brackets, Visual Studio Code"
Web Designing,"Web design, Php"
Web Designing,"C, JAVA, HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator, MySQL5.0, Sublime Text, Notepad, Windows XP, Windows 7"
Web Designing,"Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript, Photoshop, Brackets, Visual Studio, Visual Studio Code"
