Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Chemistry,Education Administrator,4.2,0,1,4,1,9,1,4,1,3,3,0,0,3,1
Computer Science,Data Scientist,3.6,0,0,0,1,5,0,2,1,4,3,0,2,4,0
Business,Mechanical Engineer,2.8,1,1,2,0,4,0,0,0,0,3,2,4,4,1
Physics,Urban Planner,3.7,7,2,2,1,2,0,3,1,1,1,3,1,4,1
Education,Biochemist,3.5,4,2,4,1,8,1,2,0,1,4,2,0,2,0
Engineering,Nuclear Physicist,2.9,0,0,2,1,3,1,2,1,4,1,0,3,1,0
Medicine,Market Research Analyst,2.9,6,2,2,1,6,0,1,4,2,1,4,2,3,0
Biology,Aerospace Engineer,3.9,9,0,3,1,8,1,2,3,1,1,2,0,4,1
Chemistry,Microbiologist,3.9,6,1,4,1,8,0,3,4,4,2,3,1,3,0
Finance,Game Developer,3.8,1,2,1,1,0,1,3,0,3,0,4,2,0,1
Law,Conductor,3.5,6,1,2,1,6,1,1,1,3,0,1,4,4,1
Art,Game Developer,4.5,3,0,0,1,5,0,1,0,0,2,0,2,1,0
Medicine,Animator,4.9,4,0,0,1,1,1,0,0,0,3,2,1,1,1
Law,Sound Engineer,3.6,4,2,4,1,0,1,3,3,2,1,4,2,0,1
Psychology,Financial Advisor,3.6,5,1,1,1,1,1,0,0,2,3,1,0,3,0
Education,Curriculum Developer,3.5,7,1,4,1,7,1,0,0,2,1,2,4,3,1
Law,Landscape Architect,3.1,0,0,3,0,6,1,0,2,0,0,1,1,3,1
Marketing,Manager,4.4,8,0,3,1,2,0,2,4,2,1,2,4,3,0
Marketing,Accountant,2.6,0,0,4,1,4,0,2,3,0,0,2,0,0,0
Physics,Ecologist,3.1,7,0,3,0,7,0,1,3,4,1,3,1,2,0
Chemistry,Legal Analyst,3.9,0,2,1,1,5,1,2,3,4,3,0,0,1,0
Music,Organic Chemist,3.0,9,0,1,0,1,0,0,4,4,0,0,4,0,0
Finance,Web Developer,3.4,0,1,3,1,4,1,2,0,3,3,2,1,1,0
Marketing,Industrial-Organizational Psychologist,4.6,3,2,3,0,3,0,2,2,3,4,1,4,0,0
Chemistry,Interior Designer,2.5,1,1,0,0,7,0,3,1,1,1,3,4,4,0
Physics,Aerospace Engineer,4.7,2,2,4,1,3,0,4,0,0,3,1,4,0,1
Art,Conductor,3.5,1,0,0,1,2,0,2,4,1,2,3,0,0,0
Chemistry,Web Developer,4.2,1,0,2,0,7,0,2,3,4,3,4,2,3,1
Medicine,AI Researcher,3.7,9,2,0,0,5,1,1,0,0,2,0,4,4,0
Art,Aerospace Engineer,4.6,6,0,0,0,8,0,1,0,2,2,4,0,1,1
Education,Psychologist,3.9,6,1,0,0,7,0,3,4,0,4,2,0,3,1
Chemistry,Marketing Specialist,2.8,9,0,2,0,4,0,1,2,3,4,1,0,1,0
Psychology,Risk Analyst,4.0,0,0,3,1,2,0,0,0,3,2,0,1,3,0
Law,Music Therapist,2.9,3,0,2,1,6,0,3,0,1,1,0,4,3,1
Law,Interior Designer,3.1,0,1,1,0,4,0,1,1,2,2,0,0,3,0
Finance,Judge,2.5,9,1,1,0,3,0,3,3,2,1,3,1,2,1
Medicine,Art Therapist,3.0,6,1,4,0,3,1,0,3,2,4,3,3,0,0
Engineering,Teacher,3.2,5,0,1,1,1,1,0,1,1,0,2,2,1,0
Medicine,Entrepreneur,4.4,2,1,4,0,9,0,3,0,2,3,1,3,4,1
Computer Science,Art Therapist,3.5,2,0,0,0,0,0,4,2,2,4,4,3,3,0
Marketing,Physicist,4.4,9,1,2,1,5,1,1,3,3,4,2,2,0,1
Law,Chemist,4.9,5,1,0,0,2,0,3,2,0,1,4,1,3,1
Architecture,Art Director,4.8,3,0,4,0,0,0,1,2,1,1,2,3,3,0
Architecture,Lawyer,4.0,4,2,2,0,1,0,3,0,2,0,0,0,3,0
Engineering,Inorganic Chemist,4.1,0,0,3,0,3,0,0,3,4,3,0,3,3,1
Finance,Brand Manager,3.1,8,0,1,0,4,0,1,3,4,0,3,2,1,1
Business,Nuclear Physicist,2.8,3,1,3,1,7,0,0,4,2,2,0,2,1,0
Marketing,Artist,2.8,2,2,0,1,6,1,2,0,3,0,1,0,1,0
Marketing,Acoustics Specialist,3.9,1,0,3,1,2,0,0,1,1,3,1,1,3,1
Computer Science,Interior Designer,3.3,6,2,1,0,0,0,3,0,0,2,0,3,4,1
Chemistry,Actuary,3.9,9,1,2,0,2,1,3,1,2,0,0,2,3,1
Chemistry,Dentist,4.6,9,2,1,1,5,1,0,3,1,2,1,0,1,1
Music,Music Therapist,3.5,6,2,4,1,3,0,2,1,3,4,4,3,4,0
Business,Landscape Architect,3.9,2,0,0,0,7,1,0,2,1,3,0,2,2,0
Psychology,Biomedical Engineer,3.5,9,0,3,1,0,1,4,0,0,3,3,2,0,1
Marketing,Legal Secretary,4.4,7,1,3,1,4,0,1,3,4,1,4,1,1,1
Architecture,Chemical Engineer,2.9,8,2,2,1,0,1,4,1,3,4,3,1,4,1
Physics,Astronomer,4.3,2,0,1,0,1,0,3,2,4,2,3,1,3,1
Chemistry,Organic Chemist,4.1,7,0,1,1,5,1,4,1,3,4,1,4,0,1
Computer Science,Animator,4.5,8,2,1,0,5,1,3,1,0,0,4,0,4,0
Engineering,Zoologist,3.0,3,1,3,0,8,1,1,2,3,0,3,1,1,1
Engineering,Biomedical Engineer,3.4,6,2,3,0,7,0,1,2,2,2,0,0,1,0
Marketing,Music Teacher,4.1,5,1,3,0,5,0,0,0,0,0,4,0,2,0
Medicine,Nurse,4.9,3,0,1,1,4,0,1,4,3,1,3,2,4,1
Engineering,Legal Consultant,4.1,8,1,3,0,2,0,4,0,4,4,4,4,3,1
Marketing,Curriculum Developer,2.9,4,1,2,0,8,0,2,1,2,0,1,2,3,1
Music,Civil Engineer,3.1,8,1,3,1,1,1,3,1,0,0,0,1,1,0
Architecture,Software Developer,4.5,8,0,2,1,6,1,1,2,1,2,3,0,0,1
Finance,Biochemist,4.8,1,2,4,0,6,0,4,1,2,2,3,2,0,1
Business,Software Developer,4.0,8,2,1,0,6,1,0,4,4,0,2,3,2,1
Business,Web Developer,4.6,5,1,1,1,1,0,2,2,0,1,0,3,4,1
Biology,Architect,3.1,2,0,2,0,1,1,1,4,1,3,3,0,0,1
Finance,Construction Manager,4.4,9,1,2,1,2,1,0,1,0,1,0,4,3,0
Marketing,Graphic Designer,2.7,3,1,2,1,6,0,4,2,0,0,4,2,4,1
Business,Risk Analyst,5.0,3,1,2,1,5,1,3,2,0,0,4,4,3,0
Architecture,Music Therapist,2.9,7,2,0,1,1,1,3,1,2,1,0,2,0,1
Art,Biomedical Engineer,3.3,1,0,4,0,5,1,4,2,3,2,0,1,4,1
Architecture,Zoologist,3.7,4,1,3,1,2,0,0,1,1,3,2,2,2,1
Business,Investment Banker,3.7,3,0,4,0,1,1,0,0,4,2,1,3,3,0
Biology,Game Developer,4.7,1,0,4,0,4,0,4,1,3,4,1,2,3,0
Finance,Construction Manager,3.5,2,2,4,1,5,0,1,3,3,2,2,1,3,0
Marketing,Analytical Chemist,3.9,4,1,3,0,9,1,1,0,3,1,2,2,4,0
Education,School Psychologist,3.7,7,2,2,1,9,1,0,3,2,3,1,4,2,1
Engineering,Chemist,2.9,4,1,3,0,9,0,0,4,3,0,0,2,4,0
Music,Inorganic Chemist,3.6,5,1,0,0,6,1,4,4,4,0,2,1,4,0
Art,Art Director,2.8,2,2,3,0,2,0,1,1,2,1,2,0,4,0
Medicine,Music Therapist,3.4,0,1,3,0,7,1,0,0,3,3,4,1,4,1
Business,Data Scientist,3.1,6,0,1,1,7,1,4,4,1,4,1,4,0,0
Architecture,Accountant,4.1,7,1,3,1,9,0,2,0,0,1,0,2,2,0
Psychology,Special Education Teacher,5.0,0,1,2,0,9,0,4,4,1,4,1,1,1,0
Chemistry,Pharmacist,4.8,2,0,2,1,6,0,1,0,1,4,1,2,1,0
Finance,Financial Analyst,2.7,5,0,3,1,8,1,2,3,1,3,2,3,2,1
Marketing,Principal,3.1,9,1,2,1,5,0,3,4,3,2,0,4,4,0
Psychology,Digital Marketing Specialist,5.0,1,0,3,0,5,1,3,1,1,0,0,2,0,1
Medicine,Fluid Mechanics Engineer,4.0,9,0,3,1,7,1,0,0,1,1,1,1,2,0
Medicine,Advertising Manager,3.0,9,0,0,1,6,1,1,3,0,3,1,0,0,1
Medicine,Aerospace Engineer,4.3,7,1,0,1,3,0,0,1,3,4,1,0,3,1
Finance,Mechanical Engineer,3.3,5,0,0,1,3,0,2,0,4,1,4,2,3,1
Education,Inorganic Chemist,4.4,5,1,2,0,9,1,3,1,0,3,3,3,0,1
Finance,Software Developer,4.5,5,0,2,0,5,1,4,1,0,0,1,4,3,1
Chemistry,Industrial-Organizational Psychologist,3.1,9,0,1,1,4,1,2,0,1,1,3,0,4,0
Engineering,Actuary,3.1,0,1,1,1,3,0,4,4,3,1,3,1,4,0
Psychology,Manager,4.9,3,1,3,1,1,1,1,0,0,1,2,4,3,0
Law,Risk Analyst,2.9,8,2,4,1,4,0,0,4,3,3,2,0,3,0
Computer Science,Construction Manager,3.6,5,1,1,1,4,0,1,4,3,3,4,4,3,1
Psychology,Biologist,4.8,6,2,1,1,0,0,4,4,3,1,0,0,2,1
Chemistry,Legal Consultant,4.8,0,2,4,0,1,1,4,2,4,0,1,0,4,1
Music,Cybersecurity Analyst,4.8,4,2,1,0,5,1,4,2,2,3,0,0,0,1
Business,Psychologist,2.7,2,2,0,0,3,0,1,0,3,4,1,3,1,1
Law,Conductor,2.9,9,1,1,1,8,1,3,3,0,4,1,2,2,1
Finance,Musician,2.8,2,0,0,0,0,1,1,2,4,0,0,1,0,0
Medicine,Quantum Physicist,2.9,9,1,1,0,5,1,1,1,3,3,0,1,0,0
Art,Composer,4.3,7,1,0,0,5,1,4,4,4,4,4,4,3,1
Computer Science,Urban Planner,4.3,4,2,2,1,8,0,1,1,4,3,4,0,3,1
Marketing,Web Developer,3.9,0,2,3,1,7,1,4,3,2,2,3,1,3,0
Marketing,Civil Engineer,4.8,4,0,2,0,5,0,2,2,1,1,4,0,3,1
Music,Biochemist,2.7,9,1,0,0,3,1,4,2,3,1,4,4,3,0
Chemistry,Dentist,4.2,9,2,3,0,6,0,2,1,3,0,3,4,2,0
Engineering,Special Education Teacher,4.3,5,0,2,0,1,1,1,0,0,2,0,3,2,1
Biology,Organic Chemist,2.8,5,2,2,0,0,0,2,3,0,0,1,4,0,0
Education,Digital Marketing Specialist,4.9,3,0,1,0,5,0,2,4,4,2,0,3,0,0
Finance,Legal Consultant,4.2,8,1,2,0,0,0,2,2,2,3,2,3,2,1
Computer Science,Pharmacist,2.6,1,0,3,1,1,0,0,0,3,0,2,2,2,0
Medicine,Special Education Teacher,3.1,3,1,4,1,5,1,4,2,0,2,3,2,4,1
Psychology,Biotechnologist,2.7,3,2,0,1,4,0,0,0,0,1,0,3,2,0
Architecture,Art Director,4.9,6,0,3,1,2,1,2,1,3,3,0,1,2,0
Biology,Physical Chemist,2.9,0,0,2,0,9,1,0,0,4,3,3,4,0,0
Biology,Brand Manager,3.4,7,2,3,0,6,0,1,0,3,4,3,4,0,0
Architecture,Inorganic Chemist,4.2,8,0,0,0,6,0,0,2,1,4,4,3,0,1
Chemistry,Legal Consultant,2.7,7,1,0,0,9,1,1,4,2,2,4,1,1,0
Psychology,Forensic Psychologist,4.8,6,0,2,1,0,1,0,4,2,3,2,3,3,0
Medicine,Physical Chemist,3.2,2,1,2,1,8,0,3,2,0,0,0,0,3,0
Law,Legal Analyst,3.5,5,1,3,0,2,1,2,1,2,4,2,4,0,0
Biology,Illustrator,2.6,6,0,0,1,9,1,0,1,3,3,2,3,0,0
Biology,Legal Analyst,3.5,3,1,2,1,8,0,4,3,3,3,1,3,4,1
Art,Landscape Architect,4.5,5,1,2,1,3,1,2,3,2,0,0,3,2,0
Computer Science,Electrical Engineer,3.2,8,0,1,0,7,0,1,4,0,4,3,0,0,0
Physics,Ecologist,4.9,1,1,3,0,4,0,1,3,1,3,3,3,3,0
Medicine,Investment Banker,3.7,8,2,2,0,0,0,0,1,2,1,4,1,4,0
Music,Legal Secretary,4.2,1,0,3,0,4,1,4,3,0,0,0,3,3,0
Biology,Digital Marketing Specialist,2.6,4,2,3,0,5,0,2,3,3,3,4,2,3,0
Marketing,Market Research Analyst,4.7,4,2,2,0,8,0,3,1,3,3,1,3,1,1
Chemistry,Data Scientist,4.2,8,2,4,1,0,0,3,1,3,3,2,4,0,1
Chemistry,Cybersecurity Analyst,4.9,5,1,3,0,7,0,0,4,3,3,4,4,4,1
Physics,Marketing Manager,5.0,4,2,4,1,4,0,0,3,3,0,4,3,3,0
Engineering,Marketing Specialist,5.0,7,1,4,1,7,1,1,2,4,1,4,4,4,1
Biology,Architectural Technologist,4.3,1,2,1,0,9,0,0,0,0,3,0,0,4,1
Psychology,Cybersecurity Analyst,3.9,9,0,4,1,9,1,0,0,0,3,4,3,2,0
Chemistry,Nurse,3.8,4,1,3,1,1,1,3,0,1,3,1,3,4,0
Finance,Legal Secretary,3.3,8,0,2,0,1,1,2,2,4,0,0,2,2,0
Medicine,Electrical Engineer,4.5,5,0,3,1,6,1,4,3,4,0,1,1,3,0
Medicine,Credit Analyst,4.1,0,0,4,1,7,0,3,0,2,1,2,0,2,0
Art,Nurse,3.2,8,1,2,1,7,1,2,1,3,3,2,0,0,0
Physics,Physician Assistant,4.9,1,2,4,0,9,0,0,2,1,0,3,3,2,1
Art,Analytical Chemist,3.7,4,1,0,1,9,0,1,1,1,4,3,0,4,0
Law,Inorganic Chemist,3.5,4,2,4,0,4,1,3,2,1,3,3,1,4,0
Psychology,Urban Planner,4.1,5,1,4,0,8,1,3,1,2,4,4,0,1,1
Marketing,Industrial-Organizational Psychologist,2.8,0,2,4,0,5,0,0,3,0,0,3,1,1,1
Art,Doctor,3.5,4,0,2,0,6,1,3,4,4,4,4,2,0,0
Psychology,Physicist,2.9,7,2,3,0,9,1,1,2,4,3,4,2,4,1
Physics,Risk Analyst,4.7,5,2,4,0,4,1,0,2,3,3,1,3,1,0
Law,Biochemist,4.7,2,0,2,0,8,1,4,3,4,0,3,4,0,0
Finance,Education Administrator,2.9,1,2,0,1,5,0,4,4,3,2,2,4,4,0
Architecture,Legal Analyst,4.2,4,1,2,1,1,1,1,3,2,3,2,4,3,1
Medicine,Civil Engineer,2.8,3,0,1,1,8,1,0,1,1,2,3,0,2,1
Education,Geneticist,3.7,8,0,1,0,6,1,2,0,3,2,4,0,4,0
Education,Manager,4.7,8,0,3,1,3,1,0,4,1,4,0,0,4,1
Engineering,Advertising Manager,3.6,3,1,1,0,3,0,4,1,1,2,4,4,3,1
Law,Chemical Engineer,3.1,3,2,1,1,0,1,4,4,4,2,4,3,0,0
Computer Science,Sound Engineer,4.2,7,1,3,0,7,1,2,3,1,1,2,3,0,0
Biology,Credit Analyst,4.1,6,2,2,1,6,1,3,4,0,1,0,4,0,1
Psychology,Brand Manager,4.4,9,2,4,0,7,0,4,2,4,3,3,3,3,1
Medicine,Teacher,3.3,5,2,2,0,8,1,3,4,0,0,4,3,1,0
Art,Acoustics Specialist,2.9,8,0,2,0,8,1,2,3,0,1,4,3,2,1
Music,Acoustics Specialist,4.3,1,2,1,1,5,0,0,2,4,2,4,1,2,1
Biology,Quantum Physicist,4.3,3,0,0,1,9,0,0,3,0,3,3,2,0,1
Business,Music Teacher,3.9,4,2,3,0,8,0,2,3,4,2,2,1,1,1
Medicine,Lawyer,3.3,8,0,3,0,0,1,4,2,4,4,1,1,2,0
Biology,Advertising Manager,5.0,5,1,2,1,7,1,1,2,4,4,0,4,0,0
Law,Aerospace Engineer,4.5,8,2,2,0,2,1,3,1,2,0,1,3,1,0
Biology,Mechanical Engineer,4.4,5,2,0,1,5,1,3,2,0,2,3,0,4,0
Music,Nurse,4.6,0,1,1,0,8,0,4,1,3,4,0,1,4,1
Finance,Advertising Manager,4.0,3,0,0,1,7,1,2,1,3,0,0,0,2,0
Computer Science,Financial Analyst,4.6,8,2,2,1,1,0,1,2,2,2,1,1,2,0
Biology,Inorganic Chemist,4.1,5,2,2,0,4,1,4,1,3,4,2,4,3,0
Medicine,Special Education Teacher,2.6,0,0,1,1,1,1,2,1,2,0,0,4,4,0
Chemistry,Interior Designer,3.7,3,2,0,1,2,0,1,3,0,3,0,4,3,0
Music,Teacher,2.8,7,2,1,0,2,1,0,3,1,2,1,2,3,0
Business,Fluid Mechanics Engineer,3.8,6,1,4,0,0,0,1,4,4,3,4,1,2,0
Marketing,Artist,4.7,6,2,0,1,0,0,2,2,1,3,4,4,2,0
Architecture,Teacher,4.9,4,1,2,0,1,1,3,4,2,2,2,3,1,1
Finance,Principal,4.2,3,0,3,1,8,1,4,0,2,3,3,4,1,0
Medicine,Teacher,4.0,1,0,4,1,0,0,2,1,2,4,4,3,2,1
Education,Financial Advisor,4.7,6,2,1,1,1,1,3,1,0,0,3,1,3,0
Law,Nurse,3.1,3,1,3,1,9,1,2,1,3,3,2,4,4,1
Education,Illustrator,2.8,3,0,4,1,6,1,0,4,3,4,1,3,2,0
Finance,Marketing Specialist,4.2,4,1,0,0,2,1,1,4,4,2,2,4,4,0
Biology,Accountant,3.1,9,0,2,1,8,0,2,0,0,3,0,4,0,0
Marketing,Marketing Specialist,4.5,1,0,4,1,0,1,4,2,4,1,1,2,2,0
Education,Physical Chemist,3.6,6,1,4,1,4,1,4,4,4,4,0,4,0,0
Psychology,Human Resources Specialist,3.9,2,1,4,0,2,1,0,2,2,4,3,1,4,1
Business,Organic Chemist,2.9,5,0,3,1,7,1,2,2,3,2,3,2,0,1
Art,Curriculum Developer,4.2,1,0,3,0,3,0,0,2,1,0,2,1,0,1
Music,Financial Analyst,5.0,8,2,0,0,9,1,1,4,3,0,2,2,1,0
Art,Aerospace Engineer,4.5,3,1,2,1,8,0,0,1,1,4,2,1,3,0
Psychology,Education Administrator,2.9,7,1,4,0,4,0,4,2,3,0,3,4,2,1
Medicine,Social Media Manager,2.6,8,1,2,1,6,0,2,3,4,1,3,2,1,0
Physics,Advertising Manager,4.7,1,1,1,0,9,1,3,0,0,1,0,4,0,0
Art,Electrical Engineer,4.6,4,2,0,0,9,1,1,1,4,3,1,1,1,0
Engineering,School Counselor,4.3,6,2,2,1,4,0,1,4,2,3,3,1,1,0
Psychology,Financial Advisor,4.3,0,0,0,0,7,1,1,0,3,2,3,0,4,1
Finance,School Psychologist,4.4,7,2,0,0,9,1,4,2,0,4,0,3,3,1
Law,Landscape Architect,2.6,0,2,3,0,4,0,3,4,1,2,2,1,2,0
Law,Cybersecurity Analyst,4.7,8,1,0,0,8,0,4,2,4,1,4,1,3,1
Chemistry,Art Therapist,3.1,2,1,3,0,2,0,4,2,4,2,0,3,4,1
Medicine,Biomedical Engineer,3.3,8,2,4,0,1,0,0,4,4,3,4,2,2,0
Computer Science,Judge,3.1,4,1,2,0,3,1,3,0,0,3,3,2,4,0
Chemistry,Astronomer,3.1,1,2,2,1,7,1,1,1,3,3,0,2,4,0
Chemistry,Principal,3.0,8,2,1,1,0,0,4,2,4,1,4,0,0,1
Chemistry,Data Scientist,4.7,0,2,1,0,2,1,3,0,1,2,3,4,4,1
Art,Biotechnologist,2.9,9,2,3,1,0,0,1,0,3,3,3,0,2,0
Psychology,Psychologist,4.4,5,0,4,0,9,0,4,2,0,1,3,3,0,1
Physics,Civil Engineer,5.0,6,1,1,1,3,0,2,4,2,0,2,3,3,0
Biology,Graphic Designer,3.2,6,2,4,1,1,1,0,4,3,4,1,4,2,0
Art,Legal Analyst,3.4,7,0,3,0,1,1,3,1,2,3,2,3,3,0
Business,Digital Marketing Specialist,2.8,2,0,0,1,6,0,2,3,3,1,4,4,4,0
Psychology,Legal Secretary,4.2,8,0,4,0,3,0,0,2,1,2,3,0,1,0
Education,Quantum Physicist,3.0,5,1,1,1,6,1,0,1,1,4,4,2,4,1
Marketing,Surgeon,3.2,1,1,3,0,9,1,3,1,1,0,0,4,0,0
Chemistry,Chemical Engineer,4.6,6,1,4,1,2,1,4,3,4,4,3,4,2,1
Art,Game Developer,3.1,6,2,1,0,1,0,2,0,1,3,0,4,2,1
Business,Clinical Psychologist,3.5,6,1,2,1,1,0,2,4,4,0,2,2,3,1
Marketing,AI Researcher,3.4,4,0,0,1,7,1,3,4,0,4,3,0,0,1
Education,Legal Secretary,4.6,9,2,1,1,7,1,4,4,3,0,2,3,0,1
Medicine,Financial Advisor,3.3,6,1,0,0,4,1,2,3,1,0,2,2,4,1
Engineering,AI Researcher,4.1,6,0,2,0,0,1,2,0,1,4,4,1,2,1
Biology,Fluid Mechanics Engineer,3.1,4,0,3,0,6,0,1,1,2,3,4,1,3,1
Physics,Advertising Manager,4.6,0,0,3,0,0,1,4,3,4,0,2,3,2,1
Medicine,Surgeon,3.6,1,0,3,0,7,0,4,3,0,1,4,0,4,0
Law,Illustrator,3.7,5,0,1,0,5,1,2,4,2,3,4,3,0,0
Biology,Actuary,4.1,8,2,2,1,3,1,0,0,3,2,1,4,1,1
Engineering,Forensic Psychologist,3.2,4,0,0,0,1,1,3,0,1,3,1,3,1,1
Biology,Graphic Designer,4.5,6,1,2,0,3,0,3,4,0,2,1,3,2,0
Computer Science,Financial Analyst,2.8,2,1,1,1,6,1,4,2,1,2,0,4,0,1
Engineering,Zoologist,3.5,4,1,2,1,2,1,4,2,1,1,1,1,0,1
Chemistry,Forensic Psychologist,4.6,4,2,4,1,6,1,1,0,3,3,4,3,3,1
Music,Advertising Manager,2.6,6,1,0,1,8,1,0,2,2,3,0,0,0,1
Biology,Principal,3.9,8,0,0,0,2,1,2,3,2,1,3,4,1,1
Chemistry,Electrical Engineer,4.5,8,0,2,0,2,0,0,3,2,1,2,4,0,1
Finance,Human Resources Specialist,4.2,7,0,3,1,1,0,1,3,0,3,0,4,4,0
Computer Science,Physician Assistant,3.7,4,0,1,0,8,1,1,2,1,3,4,1,4,0
Medicine,Marketing Specialist,4.2,1,0,1,0,3,1,2,2,1,2,0,0,4,0
Finance,Architectural Technologist,2.9,1,1,3,1,9,0,4,4,1,1,4,0,0,1
Computer Science,Chemist,2.9,5,0,3,1,3,1,4,2,4,0,0,1,2,1
Chemistry,Biologist,3.6,4,2,4,0,7,1,1,2,3,3,3,1,4,0
Law,Surgeon,3.8,5,1,1,1,5,1,3,3,3,3,2,2,2,0
Psychology,Brand Manager,4.8,7,2,0,1,6,0,0,0,0,0,0,2,1,1
Architecture,Legal Consultant,3.5,5,2,3,1,2,0,4,4,3,4,1,2,3,0
Physics,Animator,3.6,4,0,0,0,4,1,1,0,0,3,4,1,3,0
Marketing,Artist,3.2,4,2,1,1,0,1,0,2,0,0,0,0,4,0
Biology,Teacher,3.4,2,0,1,1,6,1,1,0,3,4,0,4,4,1
Music,Lawyer,4.2,9,1,3,0,8,0,3,4,4,4,1,2,4,0
Psychology,Civil Engineer,3.4,7,1,0,0,0,0,2,2,1,4,2,2,1,1
Biology,Construction Manager,4.0,0,1,0,1,4,1,2,1,4,0,1,1,4,1
